media,date,title,text,matched_keywords,object_class,object_decision
China News Service,2021-01-02,让社区矫正对象“出得去”“管得住”,"安徽：强化监督促社区矫正管理人性化规范化
本报讯(记者吴贻伙)“要不是你们协调区司法局批准我出去跑业务，还鼓励我放下思想包袱、安心经营，我们公司恐怕闯不过这个难关。”日前，安徽省芜湖市湾沚区一家高新技术企业的实际控制人倪某真诚地对前来回访的芜湖市湾沚区检察院检察官说。
社区矫正对象倪某的高新技术企业集科研、设计、生产和销售为一体，2019年下半年，该企业订单减少处于半停产状态，芜湖市湾沚区检察院了解到情况后，立即与区司法局等相关部门进行协调，批准其赴内蒙古、陕西等地洽谈业务。倪某利用外出机会，与有关企业签订意向协议达500余万元，签订正式产品订购合同金额100余万元，有效帮助了该企业复工复产。
2019年11月，沪苏浙皖四省市检察、司法行政机关共同签署了《沪苏浙皖社区服刑人员外出管理办法(试行)》。一年来，安徽省检察机关认真贯彻执行该项工作制度，积极探索解决规范社区矫正对象监管和服务保障经济社会发展的矛盾，以张弛有度的监管让社区矫正对象“出得去”“管得住”，有力促进了企业生产经营和复工复产。
在安徽省合肥市，一年来社区矫正对象外出请假同比增加了200多人次，其中批准民营企业家外出10余人次。合肥市庐江县社区矫正对象朱某，从事种植业生产需经常外出销售，为保障其正常生产经营，庐江县检察院建议县社区矫正机构批准其多次外出，朱某还带动了周边多名农民因发展种植业而脱贫，获得村民们的好评。
为全面摸清社区矫正对象生产经营和复工复产中的实际需求，宿州市砀山县检察院会同该县司法局开展专项调查，建立起处于社区矫正期的涉民营企业家和企业人员基础信息台账，同时借助微信申请、网上办理等信息化手段促进审批的快速办理。社区矫正对象汪某某，系砀山县一家新能源公司的法定代表人，2020年因业务洽谈和参与诉讼等原因多次外出，通过事前报批、网上提交证明材料等方式，为其快速办理了请假审批手续。
放开社区矫正对象外出管理，不等于放松管理。安徽省检察机关以强有力的监督来保障该项工作法治化、规范化开展。2020年8月，安徽省检察院组成四个社区矫正巡回检察组，对该省有关地方的社区矫正及其监督工作进行巡回检察，共发现问题51个。巡回检察后，安徽省检察院针对社区矫正对象外出请假不规范等问题，向该省司法厅发出检察建议，并督促整改工作落实到位。合肥市两级检察机关还协同司法行政部门探索建立起同城托管制度，采取由执行地与托管地社区矫正机构“一月一通报”方式，每月共享动态管控信息，并及时向检察机关通报管控情况。截至目前，合肥市检察机关共对20多名社区矫正对象实行同城异地监管。",对象,ambiguous,remove
China News Service,2021-01-02,民法典及相关司法解释正式施行 婚姻法、继承法、合同法等废止,"央广网北京1月2日消息(记者孙莹)据中央广播电视总台中国之声《新闻纵横》报道，2021年1月1日起，《中华人民共和国民法典》正式施行，中国进入了“民法典时代”。与此同时，民法通则、婚姻法、继承法、收养法、担保法、合同法、物权法、侵权责任法以及民法总则废止。
为切实推动民法典实施，更好保障人民权益，最高人民法院在2020年12月30日发布了与民法典配套的第一批7件司法解释，与民法典同步施行。关于离婚后孩子跟谁、网名是否受保护、老人遗产怎样分割等一些列被热议的民事法律问题，民法典和司法解释都是如何规定的呢？
最高法近日发布的民法典婚姻家庭编的解释(一)，注重引导树立良好的家教、家风，弘扬家庭美德，促进家庭文明建设。民法典中明确，禁止家庭暴力，禁止家庭成员间的虐待和遗弃。如何认定“虐待”？司法解释予以明确，最高法副院长贺小荣说：“在反家庭暴力法中明确规定，在家庭暴力的基础上，将持续性、经常性的家庭暴力认定为虐待，体现了对家庭暴力坚决说‘不’的鲜明价值导向。”
中国政法大学传播法研究中心副主任朱巍分析：“诉讼离婚时，如果有家暴行为，法院应该判决离婚。可以在要求离婚的同时要求损害赔偿，这无疑让被害人得到更高的赔偿。所以这些可以说是反家暴在婚姻家庭层面的重要抓手。”
司法解释注重保护妇女、未成年人、老年人和残疾人的合法权益。贺小荣举例说：“比如进一步细化了在法定情形下变更无民事行为能力人的监护人，并由新的监护人代理其提起离婚诉讼的规定，依法保护无民事行为能力人的合法权益。”
在离婚诉讼中，未成年子女抚养权和财产分割是最主要的争议焦点，对已满两周岁的未成年子女，父母均要求直接抚养，可予以优先考虑的情形包括：已做绝育手术或丧失生育能力；子女随其生活时间较长，改变生活环境对子女健康成长明显不利；无其他子女，而另一方有其他子女等。另外，也要尊重孩子的意愿。贺小荣说：“在未成年子女抚养权纠纷中，贯彻最有利于未成年子女的原则，尊重8周岁以上子女的真实意愿，将表达真实意愿的年龄由10周岁下调至8周岁。”
依据司法解释，子女单独随祖父母或者外祖父母共同生活多年，且老人要求并且有能力帮助照顾孩子的，可以作为父或母直接抚养子女的优先条件予以考虑。法院支持父母双方协议轮流直接抚养子女。朱巍说：“在有利于保护子女利益的前提下，父母双方可以协议轮流直接抚养子女，比如今年跟你，明年跟我，或者假期跟你玩，平时跟我，这把探视权和抚养权融合了，这个做法还是有利于孩子成长的。”
近年来，孩子是否为亲生影响离婚诉讼判决结果的案件时有发生。依据司法解释，父或者母向人民法院起诉请求否认或者确认亲子关系，并已提供必要证据予以证明，另一方没有相反证据又拒绝做亲子鉴定的，人民法院可以认定否认或者确认亲子关系一方的主张成立。
对于擅自将孩子的姓氏改为继父或继母姓氏引发的纠纷，司法解释也作出了回应，“即便变了名字，也不能不付抚养费，但是同时，作为平衡，法院是可以责令恢复原来姓氏的。”朱巍说。
生活中有人离婚心切，协议离婚时声称不在乎财产，之后就分割问题再打官司，朱巍提示说：“民法典司法解释其实也说了，就离婚分割财产后悔的，人民法院可以受理。但是如果没有发现订立协议的时候存在欺诈、胁迫情形的，即便不公平，法院也应当依法驳回当事人的诉讼请求。”
随着人民群众生活水平的不断提高，个人和家庭拥有的财产日益增多，因继承引发的纠纷也越来越多。贺小荣介绍，此次修改继承编司法解释注重弘扬社会主义核心价值观，“明确遗产无人继承又无人受遗赠的情况下，如果有继承人以外对被继承人扶养较多或者依靠被继承人扶养的，应当分给适当遗产，引导全社会形成尊老爱幼、互帮互扶的良好风尚。”他说。
司法解释切实尊重遗嘱人的真实意愿。贺小荣举例说：“比如，实践中经常有通过公证方式设立遗嘱后，遗嘱人因为重病或者其他原因无法再次设立公证遗嘱的情况，为保障遗嘱人处分自己财产的真实意愿，此次民法典继承编删除了继承法关于公证遗嘱效力优先的规定。我们在修改清理中也将‘有公证遗嘱的，以最后所立公证遗嘱为准’的条文予以废止。”
为确保遗产顺利分割，此次民法典继承编新增加了遗产管理人制度。贺小荣分析说：“为使该制度能够有效地对接实践，在司法解释相关条文中增加规定了继承人放弃继承，可以书面形式向遗产管理人表示，以保障遗产管理人制度的顺利运转。”
民法典最大的亮点，是人格权独立成编，一些以前法律没有明确规定的权利，出现在民法典里。现实生活中，因为有了互联网、微信等即时聊天工具，人们不仅有自己真实的姓名、乳名、笔名、艺名，还有网名、微信昵称等，随着民商事活动的日益多样性，社会主体应该受到法律保护的权利越来越多。最高法对人身损害赔偿等有关人格权纠纷的司法解释修改增加了一些案由，以及赔偿范围。贺小荣介绍说：“增加声音保护、个人信息保护、申请人格权侵害禁令等民事案件案由；完善了人身损害的内涵和赔偿范围，即生命、身体和健康等物质性人格权遭受侵害，赔偿范围包括物质损害和精神损害；增加规定死亡自然人的近亲属有权主张精神损害赔偿；将精神损害赔偿的保护对象调整为‘人身权益’或者‘具有人身意义的特定物’。” 【编辑:白嘉懿】",婚姻|对象,ambiguous,keep
China News Service,2021-01-05,婚恋网站扮演着“红娘”角色 但也成为诈骗“沃土”,"婚恋网站扮演着“红娘”角色，但也沦为不法分子实施诈骗的“沃土”
“我希望他关在里面一辈子，永远都不要出来害人！”这是丁红(化名)生前对案件承办检察官说的最后一句话。2020年10月，因债务压力、心灵创伤被确诊为抑郁症的丁红，结束了自己年轻的生命。
让丁红感到伤心的男人正是她的前夫朱文(化名)。在相识仅5个月后，两人就闪婚。这段婚姻只维持了不到两个月，2020年7月21日，两人办理离婚登记。
这场看似普通的闪婚暗藏玄机，朱文已向丁红借款50余万元。其中，大部分借款则是由丁红贷款筹集。据了解，在两年时间内，朱文先后通过伪装身份，从12名被害人处诈骗350余万元。2020年11月9日，江苏省苏州市吴江区人民法院以诈骗罪对朱文判处有期徒刑14年，并处罚金14万元。
2020年初，丁红通过婚恋平台结识了“公安民警”朱文，朱文晒出各种工作生活的“警官照”。丁红接受检察官问询时表示，这个帅气的小伙子给她安全感。
初次见面后，两人开始频繁联系。朱文时常身穿警服接丁红下班，并带她到家里作客，随后两人确立恋爱关系。
没过多长时间，这段“甜蜜爱情”就变味了。朱文开始用各种理由向丁红借钱：工作调动需要打点关系、欠款催账资金周转不灵……朱文借款的数额越来越大、次数也越加频繁。
2020年5月，朱文带着丁红到安徽“旅游”，并展示他正在经营的纺织厂。朱文告诉丁红，纺织厂近期效益不佳，资金周转不灵。倘若因为资金纠纷被单位知道，他的工作就保不住了。朱文再次向丁红借钱。
“你为什么不向父母借钱呢？”丁红将信将疑。此前，在朱文描述中，他的家庭条件殷实。
朱文说，他是寄养家庭的孩子，跟亲生父母和养父母都不亲。从小到大，朱文只能独自打拼。丁红瞬间产生同情，想到朱文也会不定期归还部分借款，丁红觉得他并不是骗子，反而是个靠谱的男人。
短短几个月，丁红共借给朱文50多万元。其间，丁红多次催要无果。为了安抚丁红，朱文提出与丁红领证结婚。两人领证后，朱文早出晚归，甚至以加班、应酬等各种理由不回家。
丁红对朱文感到伤心和失望，每次打电话争吵时，朱文都会主动提出离婚。经过数次争吵后，丁红同意离婚。她本以为拿回借款就可以开始崭新生活，但这件事还远远没有结束。
离婚第二天，丁红接到一名陌生女子电话。对方声称自己为朱文的未婚妻。两人认识一年多了，即将领证结婚，并已怀有身孕8个多月。
回想到朱文三番五次借钱，丁红越想越觉得不对劲，丁红选择报警。
7月29日，吴江警方立案侦查，于次日将朱文抓获，并在朱文家中搜查到各类假冒职业服装与伪造的不动产权证书。
经过审讯、调查取证，警方发现，那名怀有身孕的女子刘芳(化名)也是本案受害者之一。
与丁红离婚第二天，朱文就与刘芳来到民政局，准备登记结婚。民政局工作人员核对完两人证件，突然认出了朱文，“你不是昨天才来离婚吗？”朱文一脸尴尬，刘芳当场拂袖而去。回家后，刘芳与朱文大吵一架。
在朱文的死缠烂打下，刘芳考虑到即将出生的孩子，再次选择相信他。直到警方带着被抓获的朱文到刘芳家指认现场时，刘芳才彻底发现真相。作为某家企业负责人，刘芳也曾对朱文的“律师”身份产生怀疑。
事实上，自称“家庭条件优渥”的朱文初中辍学，见过大城市的繁华后，朱文感到依靠打工的收入远远达不到期望的消费层次，贪图享乐的他开始“走捷径”。
从2000年开始，20年间，朱文先后7次因诈骗罪被刑拘或入狱。每次行骗，朱文都会伪装成出生于高级知识分子家庭并有一定社会地位的成功人士。此外，他还会“包装”朋友圈内容，发布相应的工作场景或状态。
进行充分准备后，他开始在各大婚恋网站上挑选以个体老板等经济条件较好的大龄独立女性为主体的“猎物”。
锁定目标后，朱文会主动联系对方。在相处过程中，朱文也会主动示好，利用花言巧语博取对方好感，并在短期内确定关系。甚至，他还会在逢年过节登门拜访女方父母，让对方感受到真心和温暖。
在受害女性掉入温柔陷阱后，朱文就开始想方设法骗钱。一旦对方有所怀疑或者追讨欠款，他便主动拿出多张产权证书，向女方展示“财力”。为使受害者放松警惕，朱文还虚构了拥有教师身份的“母亲”，由这位“母亲”向受害者承诺替“儿子”的债务“兜底”。
据吴江区人民检察院办案检察官介绍，朱文的制服都是在网上购买，不动产权证书也是伪造的。房子、车子均为租借。
北京市炜衡律师事务所律师周浩分析，本案嫌疑人的行为已触犯《刑法》规定的招摇撞骗罪。《刑法》明确规定，冒充国家机关工作人员招摇撞骗的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利；情节严重的，处三年以上十年以下有期徒刑。冒充人民警察招摇撞骗的，依照前款的规定应从重处罚。
吴江区人民检察院第一检察部检察官薛丽娟介绍，本案中，女性被害者共有12人。在精心编织的谎言下，这些被害人被迫卖房、失去工作并背上了沉重的债务负担。此外，刘芳还面临着独立抚养孩子的生活困难。最令人遗憾的是，还有受害者为此失去生命。
薛丽娟表示，此类婚恋诈骗往往不单只针对一个对象。犯罪分子大多会锁定多个目标，同时诈骗多名受害人。“犯罪嫌疑人极度自私，丝毫不会考虑被害人的钱从何而来，受骗后会对其生活产生怎样的影响。”
吴江区人民检察院第一检察部副主任姚界承表示，如今，网络交友越来越普及，但在无法掌握对方底细的情况下，平台用户应保持必要的警惕性，在对方提出不合理要求的时候，一定要理性拒绝，防止被甜言蜜语蛊惑，造成不必要的损失及伤害。
姚界承分析，在网络交友中，婚恋网站扮演着“红娘”角色，但也沦为不法分子实施诈骗的“沃土”。经过多年发展，婚恋网站虽已逐渐摆脱粗放无序的发展模式，但随着犯罪手段升级和社会法治需求的不断提升，婚恋网站亟需承担起相应的主体责任，严格执行实名认证和实名注册，做好用户基本信息的核实、审查，为用户提供更真实、安全、规范的服务。
姚界承强调，相关平台、部门也应有效识别涉嫌违法犯罪行为账户的异动信息，完善举报投诉机制，及时采取屏蔽、关闭账户、黑名单公示等措施。相关监管部门也要加大查处和打击力度，逐步健全对网络婚恋市场的审批和监管。
姚界承建议，破除此类骗局还需加强公安、网信、市场监管等部门协同联动，加大对警服等制式服装售卖行为的打击，全面排查公职人员制服生产企业和服装市场，严防非法制造、贩卖，清理网上非法销售信息，依法约谈处罚违规商家和平台，切实维护公职人员制服的专用性和严肃性。
黄姗 左智越 中青报·中青网记者 李超 来源：中国青年报 【编辑:田博群】",婚姻|婚恋|对象|恋爱|结婚,ambiguous,keep
China News Service,2021-01-13,谈恋爱花了七八万 男子起诉前女友不当得利被驳回,"谈恋爱花了七八万，分手后想讨回 男子起诉前女友不当得利被驳回
武汉晚报讯（记者耿珊珊 通讯员余震 实习生胡慧旻）钱花了七八万，最后无果而终。男子想要回这笔钱，以“不当得利”为由起诉前女友。1月12日，记者获悉，法院并未认定女方不当得利，驳回了男子的请求。
2015年初，男子王某与女子刘某认识，发展成为情侣。交往期间，王某分多次给刘某转账，共计75000元。
两年后，双方矛盾不断，感情破裂。2020年6月，因为金钱纠葛，两人前往派出所，签订了一份情况说明，刘某承认王某向其转账75000元，但双方对金钱的用途说法不一。
王某称，给刘某转账是为了给她投资开店以及让她帮忙理财，但刘某认为这笔钱是同居期间的生活开支，并非借款。双方无法达成共识，王某多次催要未果，便将刘某以“不当得利”为由告上法庭。
不当得利是指没有合法依据，有损于他人而取得利益。承办法官介绍，根据法律规定，构成不当得利需要以下四个构成要件，即一方获得利益；他方受到损失；受损与获利之间有因果关系以及获得利益无合法根据。在诉讼中，这四个构成要件均为案件的证明对象，必须由当事人加以证明，才能成立不当得利。
本案中，原告被告均对恋爱关系认可，原告主张被告返还不当得利款项，应举证证明被告取得款项没有法律依据。但是，根据现有证据，只能认定75000元系王某转账给刘某这一给付行为，无法证实款项的性质，不能认定为不当得利。
法院经两审审理认为，王某提供的证据只能证明自己曾转账给刘某75000元的行为，但是无法证明刘某获得此款无合法依据，故无法推定不当得利。庭审中，刘某当场表示，自愿退还给王某一半款项。最终，法院最终判决刘某在10天以内退还给王某37500元。 【编辑:陈海峰】",对象|恋爱,ambiguous,keep
China News Service,2021-01-17,中国考古学家解读印尼野猪岩画：史前居民狩猎和崇拜对象,"中新社 北京1月17日电 (记者 孙自法)国际学术期刊近日发表印度尼西亚苏拉威西发现一幅已知世界上最古老的、创作于4.55万年前的野猪题材岩画颇受关注。
中国社会科学院考古研究所王仁湘研究员20多年前曾前往苏拉威西现场考察，他17日接受 中新社 记者采访解读称，野猪剽悍凶猛，是苏拉威西岛冰河时期岩石艺术中最常被描绘的动物，既是岛上史前居民狩猎的对象，也是崇拜的对象。
王仁湘研究员长期致力于史前刻画符号、岩画、各类出土遗存上纹饰图案研究，并担任中国考古学会公共考古指导委员会主任。20多年前联合国教科文组织在印尼举办一次世界岩画考察与研究培训班，他受聘为教员向学员讲述中国西部发现的牦牛岩画，并赴苏拉威西，现场考察了岛上几座洞穴中的岩画。
王仁湘介绍说，在印尼苏拉威西岛南部马洛斯附近的7座石灰岩洞穴里，考古学家自20世纪50年代起就发现岩画，画面上除了包括野猪在内的大型动物图像，也有大量的人手图形。苏拉威西岩画绘在高大的洞穴中，大幅的画面、奇特的动物造型、重叠的手印、赭红的颜色具有很强的穿透力。
这些岩画作画时间之前推定在距今3.5万年到4万年间，此次最新研究发现的野猪岩画认定的年代更早，是根据画上方形成的方解石矿床的年代测定有4.55万年的历史，表明该画至少绘制于这个年代之前。
他认为，这幅野猪岩画测年数据非常重要，是印尼发现已知世界最古老洞穴岩画的新证据，也许会更正以往发现的那些岩画的年代。此外，苏拉威西岛上发现的岩画扩大了最早岩石艺术家的地理分布范围，这也颠覆了岩画艺术最早出现在欧洲的传统认知。
野猪形象为何频繁出现在苏拉威西史前岩画上？王仁湘分析指出，野猪是苏拉威西岛冰河时期岩石艺术中最常被描绘的动物，它们无疑是岛上史前居民狩猎的对象。同时，野猪剽悍凶猛，自然也会成为崇拜的对象。
这种野猪被认定为疣猪，独居或成群穴居，以青草、苔草及块茎植物等为食，生存能力很强，适应高温和干旱环境，可连续数月不饮水；繁殖力很强，好斗，也会给人类造成威胁，而凶猛的动物更容易进入人类的崇拜范围，给人类以精神慰藉。
动物崇拜，有时就这样表现为力量的崇拜。与人类生活发生过频繁交集的动物们，尤其是那些打动人类情感，传递给人类力量的动物，最有机会进入人类的崇拜领域，也最有机会成为史前画师描绘的对象。“野猪，不正是如此吗？”王仁湘说。
王仁湘特别指出，值得注意的是，苏拉威西岛一座洞穴岩画的内容是狩猎图，绘制出8个半人半兽的猎人形象，有的长有鸟嘴，有的长有尾巴，正用长矛和绳索猎杀2头野猪和4头矮水牛。
有学者认为，这些神奇的兽人形象是智人采用艺术形式传达抽象思维的第一个例证。格利菲斯大学布拉姆博士说，岩画上的兽人形象算是一个最早的证据，证明人类创造自然界不存在的事物的能力。
“我倒觉得不一定是如此。”王仁湘表示，半人半兽猎人画面更可能是狩猎情景的再现，表现的是猎人模仿动物的扮相，这是猎人们为迷惑动物设计的伪装。“我们还可以进而推测早期半人半兽神像的出现，应当也与这些猎人的扮相有关，人类借动物迷惑动物的时候，也迷惑着自己”。(完) 【编辑:房家梁】",对象,ambiguous,remove
China News Service,2021-01-28,“诚信而不幸”的企业家为何成浙江法院依法帮助对象？,"中新网 杭州1月28日电(记者 张斌)28日，浙江省高级人民法院院长李占国在浙江省第十三届人民代表大会第五次会议上作浙江省高级人民法院工作报告时介绍，去年，该省法院总结温州、台州、丽水等地试点经验，发布个人债务集中清理(类个人破产)工作指引，依法帮助“诚信而不幸”的企业家东山再起、重新创业。
对浙江缺乏了解的人们或许难以理解——企业家为何成为浙江法院依法帮助的对象？
浙江省统计局的一组数据揭示了原因：去年，民营经济创造了浙江全省66.3%的生产总值、73.9%的税收、82.1%的外贸出口、87.5%的就业岗位和拥有92.3%的企业。可以说，民营经济一直是浙江经济的最大特色、最大资源和最大优势。
作为市场经济法律体系的一项基础性制度，破产制度对助力民营经济、释放市场活力起到重要作用。
李占国介绍，2020年，浙江注重发挥破产审判化解风险、服务高质量发展作用，审结破产案件2828件，化解金融不良债权900亿元，盘活土地资源7万亩、厂房804万平方米。
企业经营不善、资不抵债，可以向法院申请破产。个人负债累累无法偿还，却不能以同样的方式解决困难。而相比一般民众，在市场竞争中，企业家往往承担更重的债务风险。
目前，中国尚无针对个人的破产制度。这意味着企业家一旦失败，就无法实现从市场的退出和重生。
2020年12月2日，浙江省法院发布《浙江法院个人债务集中清理(类个人破产)工作指引(试行)》(下称《指引》)，在浙江省域层面率先开展个人债务集中清理工作。
也就是说，在现有法律框架内，法院参照破产和解、执行和解、参与分配等制度，依债务人申请，通过财产申报、调查、核实和清理、债权人一致同意表决等程序，形成个人债务公平清偿方案，创新执行退出机制——从而对“诚实而不幸”的个人债务人给予有条件的债务豁免，推动形成鼓励创业、宽容失败的社会导向。
这一举措，正是为给“诚实而不幸”的企业家等债务人一个相对宽容的制度出路。
早在2018年，浙江温州、台州等地法院便开展个人债务集中清理工作的试点，在具有个人破产实质功能的个人债务集中清理案件办理方面进行有益探索。
如在全国首例个人债务清理案——温州平阳法院办结的蔡某个人债务集中清理案件中，蔡某作为一家破产企业的股东，因无力偿还承担连带责任的214万元债务，经法院裁定可适用执行的特殊程序，对其个人债务集中清理，一次性清偿3.2万余元。
需要厘清的是，推进破产审判并非对老赖的纵容。
此前，浙江省法院有关人士此前曾介绍，《指引》基本建立了一整套流程，旨在将债务人区分为两种，一种是“有履行能力而拒不履行生效法律文书确定义务的”债务人，即“老赖”；一种是“诚实而不幸”的债务人，确实不具备履行能力。
国家发改委发布的《中国营商环境报告2020》显示，杭州、衢州营商环境名列全国前十，其中法院牵头的保护中小投资者、执行合同、办理破产3个指标均获评全国标杆指标。
“要以打造一流法治化营商环境为重点，为争创社会主义现代化先行省提供有力保障。”李占国说。(完) 【编辑:苏亦瑜】",对象,ambiguous,remove
China News Service,2021-02-05,青岛城阳区回应“困难户家中摆高档酒”：不是低保对象,"中新网 2月5日电 青岛市城阳区人民政府新闻办公室官方微博5日发布《关于城阳区棘洪滩街道开展春节送温暖走访慰问工作的调查情况》(以下简称《调查情况》)。《调查情况》指出，社区居民杜某某不是建档立卡贫困户，不是低保对象，不是特困供养人员，是棘洪滩街道确定的春节送温暖临时走访慰问对象。关于网友质疑问题，经调查，网上图片系两位老人大女儿家，房屋建筑面积93平方米；茅台和五粮液是于某某从亲戚家宴会上带回的空瓶；冻顶乌龙茶叶手提袋，系其亲戚到家中探望时携带，现内装闲置杂物。
《调查情况》指出，2月3日，青岛市城阳区棘洪滩街道微信公众号发布题为《春节走访困难户浓浓温情暖人心》的文章，文中配图引发部分网民质疑。城阳区委、区政府对此高度重视，区纪委监委和区民政局组成调查组，迅即开展调查工作。调查组与当地社区“两委”工作人员、社区居民、当事人及亲属等多方了解取证，并查阅有关资料，对网友质疑问题也进行了核实。对有关情况通报如下：
《调查情况》明确，城阳区没有建档立卡贫困户。城阳区现有低保对象2261户、3500人，保障标准为每人每月821元；现有特困供养人员372户、387人，基本生活补助标准为每人每月1232元。以上对象已经按国家有关政策，及时足额发放低保、特困供养等救助金。棘洪滩街道北万社区居民杜某某不是建档立卡贫困户，不是低保对象，不是特困供养人员，是棘洪滩街道确定的春节送温暖临时走访慰问对象。
本次棘洪滩街道开展的春节送温暖活动，对因病长期卧床、因残疾或精神障碍影响正常生活、因突发变故导致生活困难的居民，纳入走访慰问范围，由街道和社区为每户送去统一公开采购的价值500元的米、油、干果等生活用品，不发放慰问金。根据社区居民生活状况，每年春节前确定的走访慰问对象，需经所在社区“两委”研究，经居民代表会议通过并公示。走访慰问物品为一次性发放。
杜某某，81岁，2011年至今瘫痪在床9年；其妻于某某，78岁，患有糖尿病。夫妻两人每月糖尿病、抗血栓等药品开销1500元左右；收入来源主要为两人每月共约1770元的养老保险。因社区旧村改造，两位老人没有固定住处，目前暂住大女儿家。2020年12月11日经所在社区“两委”研究，12月12日经居民代表会议通过并公示，12月31日经棘洪滩街道党政联席会议研究，确定杜某某为春节送温暖走访慰问对象，一次性发放走访慰问物品，为价值500元的米、油、干果等生活用品。
《调查情况》指出，关于网友质疑问题，经调查，网上图片系两位老人大女儿家，房屋建筑面积93平方米；茅台和五粮液是于某某从亲戚家宴会上带回的空瓶；冻顶乌龙茶叶手提袋，系其亲戚到家中探望时携带，现内装闲置杂物；电视为海信牌47寸普通电视；疑似的跑步机是儿童手推车；疑似海参实际是发黑的山楂干；疑似葛根粉实际是三七粉；钟表为康巴丝石英表；兰花为从集市上购买的普通墨兰。
城阳区将认真落实疫情防控期间困难群众兜底保障各项政策措施，特别是对老年人、残疾人、儿童等特殊群体，加强走访探视、摸底排查、妥善照顾，扎实开展春节走访慰问活动，确保困难群众安心过年、温暖过冬。
《调查情况》表示，欢迎社会各界对有关工作进行监督，及时反映问题，不断改进工作，切实把好事办好。
同时公布了城阳区纪委监委信访举报电话：0532—87866570",对象,ambiguous,remove
China News Service,2021-02-08,在线相亲平台对缘协助警方破获电信诈骗案,"中新网 2月8日电 日前，映客旗下在线相亲平台——对缘APP“反诈团队”依托先进的科技手段，协助河北省张家口市蔚县公安局，破获两起涉“对缘”用户数额数百万的电信诈骗案，端掉两个诈骗窝点，有力震摄了地下黑产。
2020年5月，王某某、余某某等人在海南省两小区内搭建窝点，着手实施电信网络诈骗犯罪活动。王某某负责提供诈骗后台服务、联系技术支持、购买诈骗手机及日常生活开销，余某某负责招募、拉拢诈骗成员，其他人员负责联系客户、具体聊天，物色受害对象。该团伙成员以谈婚论嫁为名，通过平台结识受害人，待双方感情升温后，在平台下获取联系方式。之后，假借投资理财、给予资助等名义，将受害方步步套牢并诱使对方进行远程非接触式打款，链接至“金钻娱乐城”等APP，最终实施诈骗。
2020年12月，映客集团“反诈团队”接到河北蔚县公安局协助调查通知后，进一步梳理情况后又发现一起类似诈骗案件。随后，集团积极成立专项小组，利用大数据、AI及溯源技术，准确定位犯罪嫌疑人，配合公安机关将嫌疑人全部抓获归案。
对缘负责人介绍，作为视频相亲赛道的TOP品牌，虽然本案犯罪嫌疑人仅仅是通过“对缘”结识了被害人，并未在平台内实施具体的诈骗犯罪行为，但平台深知应履行的企业责任。维护网络清朗生态，每一个互联网企业义不容辞！春节期间，对缘将继续开展“清朗生态”专项行动，依托映客集团大数据和技术优势，加大防诈反诈力度。首先，在平台顶部设置强滚动防诈提示，邀请用户结合产品特点录制防诈宣传视频。其次，全用户推送反诈宣传与预警私信，对高发涉诈骗案件类型进行全员预警提示。此外，还会进行相关的疑似排查。
据了解，映客集团专门成立了“反诈”团队，实时监控平台上涉恐、涉黄、涉赌、涉诈等各类违法信息。通过产品、运营、技术、审核、法务、客服、政府事务等多部门联动，定期分析研判，跟踪“黑灰产”变化发展态势，积极主动向监管部门或公安机关移送案件线索，实施精准打击。比如，在风控技术层面，实时更新模型：针对犯罪分子的话术变化，利用算法不断提高针对性；对涉诈骗类关键词过滤拦截，对聊天中涉及到的金融信息、第三方平台等高风险词汇自动拦截过滤，并提示用户风险。
映客集团负责人表示，此次警企合作的成功实施，是映客集团积累的又一次宝贵经验。筑牢内部“反诈防线”，构建行业反诈联盟，依托强力机关的职能优势，形成高压震慑态势，决不给犯罪分子可乘之机，才能更好的为用户提供安全、高效、真实的交友环境，保护人民群众的财产安全和个人隐私，践行集团一直以来的使命和追求。打击网络黑产，映客在行动。 【编辑:吉翔】",对象|相亲,ambiguous,remove
