official_account,parent_post_id,post_created_at,post_month,keyword_group,keyword_categories,matched_keywords,parent_post_text,comment_id,comment_created_at,comment_month,comment_text
中国新闻网,5138422377744280,2025-02-26 22:07,2025-02,fertility,fertility,生育|生育率,【#韩国新生儿人数时隔9年止跌回升#】据韩国统计厅26日发布的《2024年人口动向调查》，韩国2024年新生儿数量同比增加8300人，时隔9年止跌回升。据统计，韩国2024年新生儿人数为23.83万名，同比增加3.6%。得益于新生儿人数增加，韩国2024年总和生育率小幅回升至0.75，同比增加0.03。（刘旭季龙雨）,5138433103891462,2025-02-26T22:49:42+08:00,2025-02,真的假的@彡玥清辰_ImMerLieBe
,5138422377744280,,,,,,,5146245594352607,2025-03-20T12:13:45+08:00,2025-03,我们单位都不允许我怀孕，排队，好不容易排到了还不承认，那我能说啥，没见有人管
央视新闻,5138966548056793,2025-02-28 10:09,2025-02,marriage,marriage,婚姻|结婚,【#4年多次闪婚收高额彩礼被判返还#】今天，#最高法发布多起涉彩礼纠纷典型案例#。其中的一起案例显示：赵某（男）与孙某已办理结婚登记并给付彩礼8.6万元，后赵某提起离婚诉讼，以孙某将婚姻作为获取财物的手段为由，请求法院判决双方离婚、孙某返还全部彩礼。人民法院依职权调查后发现，孙某不仅在较短时间内多次“闪婚”、均接收较高数额彩礼、婚姻存续时间均较短，更重要的是，历次离婚诉讼中男方对于婚后双方无夫妻之实、孙某回娘家居住的共同生活状态等描述基本一致，结合孙某无法提供证据证明其对维系婚姻作出相应努力，人民法院据此认定孙某以彩礼为名借婚姻索取财物，判令解除婚姻关系，孙某返还全部彩礼8.6万元。根据涉彩礼纠纷司法解释第二条规定，一方以彩礼为名借婚姻索取财物，另一方请求返还的，人民法院应予支持。给付彩礼的目的除了办理结婚登记这一法定形式要件外，更重要的是双方形成长期、稳定的共同生活状态。本案中，虽然孙某已与赵某办理结婚登记，但婚姻关系存续时间较短，且孙某主要在娘家居住，双方未能形成长期、稳定的共同生活状态。同时，结合双方经常因孙某索要钱财发生争吵以及孙某之前所涉两次离婚纠纷的具体情况，人民法院认定其有通过婚姻索取财物的行为，判令其全额返还彩礼，再次明确禁止借婚姻索取财物的司法态度，维护正常的婚恋秩序。详→O网页链接（总台央视记者张赛张明）,5138967617079734,2025-02-28T10:13:40+08:00,2025-02,终于关注这个了，甚至有些人都当成职业了
,5138966548056793,,,,,,,5138996028771488,2025-02-28T12:06:34+08:00,2025-02,骗婚者太可恶，此风不可长，必须严惩这种恶劣行为！
,5138966548056793,,,,,,,5138981755555190,2025-02-28T11:09:51+08:00,2025-02,世界之大无奇不有
,5138966548056793,,,,,,,5138972695334326,2025-02-28T10:33:51+08:00,2025-02,"再想有钱也不能这么干呀,耽误别人"
中国新闻网,5148407204417436,2025-03-26 11:23,2025-03,fertility,fertility,出生率,【#广东去年出生人口全国第一#】#第一人口大省又生了113万人#3月26日，广东统计局公布2024年广东省国民经济和社会发展统计公报。公报显示，2024年末，全省常住人口12780万人，比上年末增加74万人，其中城镇常住人口9701万人，占常住人口比重（常住人口城镇化率）75.91%，比上年末提高0.49个百分点。全年出生人口113万人，出生率8.89‰；死亡人口66万人，死亡率5.20‰；自然增长人口47万人，自然增长率3.69‰。需要说明的是，2024年广东新出生人口数量居全国第一。（记者李金磊）,5148417669205182,2025-03-26T12:04:48+08:00,2025-03,潮汕应该贡献不少[嘻嘻]
,5148407204417436,,,,,,,5148434525586283,2025-03-26T13:11:47+08:00,2025-03,有潮汕的大力支持[笑cry][笑cry][笑cry]
,5148407204417436,,,,,,,5148444861400132,2025-03-26T13:52:51+08:00,2025-03,不好意思，贡献了一个[笑cry]
,5148407204417436,,,,,,,5148455934364894,2025-03-26T14:36:51+08:00,2025-03,不好意思，贡献了一个崽[doge]
,5148407204417436,,,,,,,5148472873582823,2025-03-26T15:44:09+08:00,2025-03,我们家大力支持一个大侄子[嘻嘻]
,5148407204417436,,,,,,,5148465995975352,2025-03-26T15:16:50+08:00,2025-03,我广东东莞生一个，我周围的同学朋友也就最多2个，一般一个，要么40多岁还没打算结婚的
人民日报,5140975208366146,2025-03-05 23:11,2025-03,fertility,family_childrearing,育儿,【#你好，明天#】多渠道促进居民增收、落实和优化休假制度、发放育儿补贴，政府工作报告提到的“民生红包”，着眼公众关切，传递政策温度。惠民红包的“含金量”，不仅体现在政策精准度，更在于落实有力度。齐心协力把政策红利转化为获得感，让大家笑容更多、心里更暖。,5140977880139277,2025-03-05T23:21:44+08:00,2025-03,又了解了更多！晚安[比心心]
,5140975208366146,,,,,,,5140976272671254,2025-03-05T23:15:20+08:00,2025-03,晚安好梦[月亮]明天见啦[哇]
,5140975208366146,,,,,,,5140977750120127,2025-03-05T23:21:13+08:00,2025-03,祖国繁荣昌盛，国泰民安
,5140975208366146,,,,,,,5140978068358099,2025-03-05T23:22:29+08:00,2025-03,😴晚安😘[月亮][鲜花][鲜花][鲜花][心][心][心][心]一切为了人民[鲜花][鲜花]
,5140975208366146,,,,,,,5140975748907900,2025-03-05T23:13:16+08:00,2025-03,落实和优化休假制度[good]
人民日报,5143785836385231,2025-03-13 17:19,2025-03,fertility,family_childrearing|fertility,三孩|二孩|生育|育儿,【呼和浩特生育三孩发10万】3月13日，呼和浩特发布育儿补贴项目实施细则及服务流程：生育一孩一次性发放育儿补贴10000元；生育二孩发放育儿补贴50000元，按照每年10000元发放，直至孩子5周岁；生育三孩及以上发放育儿补贴100000元，按照每年10000元发放，直至孩子10周岁。如何申报、发放？一文了解↓↓O呼和浩特发布育儿补贴细则,5143786851664887,2025-03-13T17:23:35+08:00,2025-03,山东搞快点，要不然我娃就出生了[允悲]
,5143785836385231,,,,,,,5143838533879482,2025-03-13T20:48:57+08:00,2025-03,请问，发的钱是哪里来的？
,5143785836385231,,,,,,,5143837740372670,2025-03-13T20:45:48+08:00,2025-03,快来。。。再不来娃就要长大了
,5143785836385231,,,,,,,5143787621847388,2025-03-13T17:26:39+08:00,2025-03,对三胎家庭的大力支持。👨‍👩‍👧‍👦👨‍👩‍👧‍👦👏👏
,5143785836385231,,,,,,,5143823358366395,2025-03-13T19:48:39+08:00,2025-03,这才是给人民办实事给实惠，你别管人家生不生，你把政策给到位，生不生就有更多的选择，至少吃饭没问题
,5143785836385231,,,,,,,5143839044534459,2025-03-13T20:50:58+08:00,2025-03,快，我们苏州啥时候有，坐等[喵喵]
,5143785836385231,,,,,,,5143835450283158,2025-03-13T20:36:42+08:00,2025-03,重庆跟上[嘻嘻][嘻嘻][嘻嘻]我要二妹
,5143785836385231,,,,,,,5143821525189831,2025-03-13T19:41:21+08:00,2025-03,四川什么时候发放啊！
,5143785836385231,,,,,,,5143834909477421,2025-03-13T20:34:33+08:00,2025-03,哈尔滨搞快点，看看额度，生个2胎，
,5143785836385231,,,,,,,5143837450967074,2025-03-13T20:44:39+08:00,2025-03,那我这1月份生的孩儿还有没有[允悲]
,5143785836385231,,,,,,,5143819450059755,2025-03-13T19:33:07+08:00,2025-03,已经生了的还可以去申请补贴吗[嘻嘻][嘻嘻][嘻嘻]
,5143785836385231,,,,,,,5143828710298603,2025-03-13T20:09:55+08:00,2025-03,这个户籍要怎么算  在呼和浩特出生就可以吗
,5143785836385231,,,,,,,5143826302243336,2025-03-13T20:00:21+08:00,2025-03,安徽能不能跟紧步伐，我马上怀二胎[允悲]
,5143785836385231,,,,,,,5143830131119578,2025-03-13T20:15:34+08:00,2025-03,北京啥时候，我先找个对象[允悲]
,5143785836385231,,,,,,,5143854040220627,2025-03-13T21:50:33+08:00,2025-03,我5月份即将出生的崽崽赶上了！今天下午已经办好了工作证明，明天就去落户[打call][打call][打call]
,5143785836385231,,,,,,,5143831378664750,2025-03-13T20:20:31+08:00,2025-03,支持，河南搞快点，搞了我就生
,5143785836385231,,,,,,,5143787665101725,2025-03-13T17:26:49+08:00,2025-03,补贴可以 育儿政策更完善了
,5143785836385231,,,,,,,5143831864411466,2025-03-13T20:22:26+08:00,2025-03,@秦薇Felicity 呼和浩特喊你回家生娃了[允悲][允悲][允悲]
,5143785836385231,,,,,,,5143849380089338,2025-03-13T21:32:03+08:00,2025-03,对不管有没有补贴总要生第一个的来说，肯定是个利好；对犹豫要不要生第二或第三个的来说，也算个利好[偷笑]
,5143785836385231,,,,,,,5143853883983916,2025-03-13T21:49:57+08:00,2025-03,呼和浩特育儿补贴来了
,5143785836385231,,,,,,,5143828345391571,2025-03-13T20:08:28+08:00,2025-03,山西快啊，我马上40呀，我想要个女儿！
,5143785836385231,,,,,,,5143836508029133,2025-03-13T20:40:53+08:00,2025-03,广西搞快点，我准备生
,5143785836385231,,,,,,,5143815564300237,2025-03-13T19:17:41+08:00,2025-03,湖南搞快点，要不然我娃就出生了[允悲]
,5143785836385231,,,,,,,5143850432335137,2025-03-13T21:36:14+08:00,2025-03,河南走起来啊赶紧
,5143785836385231,,,,,,,5143865069929552,2025-03-13T22:34:24+08:00,2025-03,辽宁什么时候安排？[允悲]
,5143785836385231,,,,,,,5143852664488418,2025-03-13T21:45:05+08:00,2025-03,啥时候出生的孩子能有
,5143785836385231,,,,,,,5143852635395940,2025-03-13T21:44:59+08:00,2025-03,广西什么时候有，还有两个月生娃了
,5143785836385231,,,,,,,5143852424891622,2025-03-13T21:44:09+08:00,2025-03,河北河北河北赶紧的
,5143785836385231,,,,,,,5143852382687363,2025-03-13T21:43:59+08:00,2025-03,行吧，两周前刚生完[二哈]
,5143785836385231,,,,,,,5143849904373829,2025-03-13T21:34:07+08:00,2025-03,@恩施发布 @恩施州政府 什么时候轮到我们恩施呀[打call]
,5143785836385231,,,,,,,5143837501555123,2025-03-13T20:44:50+08:00,2025-03,@Liwentinger
,5143785836385231,,,,,,,5143824788620201,2025-03-13T19:54:19+08:00,2025-03,加油啊，大山东，今年准备要个三胎呢[允悲]
,5143785836385231,,,,,,,5143801804361836,2025-03-13T18:23:00+08:00,2025-03,@hesssss 有地方已经开始了
,5143785836385231,,,,,,,5143787244620156,2025-03-13T17:25:09+08:00,2025-03,已经转发给结了婚和即将结婚的同学
,5143785836385231,,,,,,,5143839222005820,2025-03-13T20:51:40+08:00,2025-03,我2月25日生的[允悲]
,5143785836385231,,,,,,,5143854153212148,2025-03-13T21:51:01+08:00,2025-03,可以考虑生，广东什么时候实施
