post_id,post_date,keyword_group,matched_keywords,post_text,marriage_attitude,coding_note
4720616030340858,2021-12-31 23:53:00,fertility,三孩,姚昱辰超话小姚长大了👏🏻不再是从前那个小不点了又长大了一岁喂！！变声期要慢慢适应🤒身体不舒服的时候一定要照顾好自己。📚要好好上课听老师和士大夫的话在公司和兄弟们要开开心心的。🧣天气冷了要多穿点衣服不要感冒了。🎙在唱歌这方面也有很多的进步再接再厉。🍜一定一定要多吃饭你自己说自己长了十几斤⁉️十三岁了懂感恩了小姚懂了父母和老师的苦心👏🏻要懂事点啊孩砸。要在2022年把2021的遗憾和不足都补回来争取在2022看到一个胖乎乎的小姚！！🌚👏🏻@TF家族-姚昱辰,0,neutral/unclear
4720613514287790,2021-12-31 23:43:00,fertility,三孩,『新华全媒+｜三孩，来了！新药，进了！耗材，降了！——2021，这些“民生热点”值得关注-新华网』O题：三孩，来了！新药，进了！耗材，降了！——2021，这些“民生热点”值得关注,1,neutral/unclear
4720613435119190,2021-12-31 23:43:00,fertility,三孩,2021.12.31星期五晴儿子学校今天开元旦茶话会，我看老师发的照片各式各样的糖果点心，这还咳着就在学校都吃光了。除了才艺表演，还抽了三样礼物，着实过了个快乐的元旦联欢会。孩他爹下班晚，儿子英语课结束后，我俩回来凑和一顿，晚上一起看了纪录片《海龟奇援》。刚才看了几个台的跨年晚会，就感觉那些歌真是欣赏不来，还不如看看纪录片。告别2021～,1,neutral/unclear
4720613091185875,2021-12-31 23:42:00,fertility,三孩,我的抗疫情日记（三）2021年12月27日多云下雪后的天气十分寒冷，今天官方报告的人数还在增加，院子里的雪经过零下六七度的低温考验，已经分不清是雪还是冰，我出门看小区口穿防护服的工作人员一边搓着手一边在小步来回的跑，在这样寒冷的天气里，为了小区所有人的平安，它们在小区门口通夜值守，这是用毅力和精神在值守，我不由的对这些工作人员潇然起敬，只有经历了严寒下在外面过夜的人才能体会到那种感觉。看报道说12月26日18：00全城消杀，这是个好消息，希望疫情早点过去，希望凝似病例和确诊病例能越来越少。居家隔离已经四五天了，虽然说居家隔离，但利用买菜还是可以出去看看的，街道上没什么人，除了和我一样想借买菜出去走走的人们，几乎都是抗疫情车辆和工作车辆，偶尔也有其它车辆，总之，我这样性格的人就觉的想出来走走，可能不符合抗疫情要求，可在家里实在没事可干，每天就是抱着手机看外面的世界，和朋友们聊聊天，聊着聊着也觉的没啥说了，就看看今天病例是增加还是减少了，但每天看见的都是不让人开心的消息。早晨懒洋洋的躺在床上，打开手机，看今天政府发部的抗疫情政策级别又体高了，要求非抗疫车辆和生活保障车辆一律不得在公路上行驶，由原来两天出门去超市购物一次，现在变为三天在小区内购物，无特殊情况不能出小门，这对我这样不守规矩的人来说又增加了压力，还不知道啥时候能解封，物业通知非必要家门都不能出。看来以后我的抗疫情生活更加难熬，哎！大家都能抗，我也能抗过去，但愿早日解封。下午又要去做核酸检测，下雪后阴沉沉的天气更加寒冷，每个去做核酸检测排队的人都穿着各种防寒保暖的衣服，野外棚子里穿着防护服做核酸检测的几个医护美女们站在棚子下给每个人做着检测，有个美女一边跺着脚一边工作，今天我给她们拍了张照片，希望大家记住她们最美的工作形象。在手机里看了一个让人心酸泪目的视频，一个两岁患者穿着防护服被带上车隔离的那一幕，妈妈也穿上防护服看着孩子被带上车去接受隔离治疗，妈妈疯了一样哭着看自己的孩子被带走，让所有在场的医护人员都哭了，两岁的孩子哪！但为了孩子的健康又不得不那样做。我看了视频心里酸酸的真不是滋味，假如它是我的孩，我们会是怎样的心情，可能和那个母亲会是一样的。在自然面前我们人类显的是何等渺小，又何等的无助，只有我们大家拧成一股绳，人类自律才能自救，不是吗？,0,neutral/unclear
4720612956705395,2021-12-31 23:41:00,fertility,三孩,宁爱聚集地超话#宁爱#飘（4）Attention：现实向，故事开端为03年。想尽力揣度主角的性格，若有ooc那一定是我的问题。——————————————————04“李指！请等一下，我还有什么地方做得不够好，需要改进的？我学的技术是最先进的吗……”短发女生急切地抛出了各色问题。虽然女孩有一米七一的个子，但站在男人身边看起来仍很是瘦弱。男人深深地望了她一眼，叹了口气，转身离开。女孩不满地撇撇嘴，转过身继续用发球机练习基本功。但她不会想到，男人并未离开，而在她看不到的地方默默地观察着她的一举一动。一天沉浸地练习使她倍感充实，但在这充实之下，似乎又少了一点激情。女孩觉得是自己这几天太拼命了，所以有些麻木。“但无论如何，我一定要把握好这次机会。”睡前女孩还惦念着。天蒙蒙亮，女孩忍着疲惫，艰难地睁开眼睛。她没有惯着自己的瞌睡虫，快速地套了件衣服，然后立刻跑到卫生间用冷水冲洗自己的脸，用毛巾胡乱地擦了一通，就拿着拍子和胶水匆匆离开寝室。“早上好啊，小宁。”“早啊，大爷。”一个小老头般的人儿掏出一大把钥匙，打开了体育馆的门。“小宁，你也别太拼了，身体会受伤的。你这早饭都没吃，肯定没什么力气，别弄得低血糖。”大爷对着女孩念叨。“没事儿，我年轻，扛得住。”“别仗着自己年轻，就无所谓。在这等着，我给你个大瓷缸，刚好我这有个新的，你可以每天拿它装点糖水。”大爷无奈地看着女孩。“谢谢大爷。”女孩捧着瓷缸，然后向大爷摆了摆手，“大爷，我进去打球了，已经有点迟了。现在离奥运会只有三个月了。”语毕，便冲进体育馆。大爷看着远去的背影，冲阴影里的人说到：“李指，你这个球员真是太要强了。但是不是有些过头。”李隼叹了口气，很是担忧地望向体育馆。“李指，昨天的问题您还没告诉我答案！”当女孩看到男人出现时，迅速追问过去。“张怡宁，你打得很好，你不需要这样过度练习。这段时间你需要休息好，保持心情愉悦，把自己的身体调至最佳状态，我不允许你打封闭针上阵，影响发挥。”男人严肃地盯着女孩说道。“但是，不拿到冠军我是不会高兴的。”女孩倔强地昂起了头。“我不管你现在怎么想，准你明天一天假，出去转转，总之不要急着拿拍子打球。”男人以命令地口吻对女孩说。废柴说：我失约了，不是故意的！昨天学校活动取消了，所以没时间更，太对不起大家了TvT；今天主持了三小时联欢，回家又做了些甜品，实在有些疲惫。总之，感谢这半年一直支持我的朋友们祝大家新年快乐，愿大家所思皆得所愿，所得皆如所求！,0,neutral/unclear
4720611916776445,2021-12-31 23:37:00,fertility,三孩,突然间，觉得他们长大了……今年的联欢，我变成了一名欣赏节目的观众。从联欢活动的准备布置到结束收尾，班委们组织得井井有条。小班长主动担起写主持词的重任，没有经验的她却能把每个节目很流畅地串联起来；由于班级一直没有后黑板，没接触黑板画的锘宝却给大家带来了惊喜；吃校内小餐桌的孩们，中午顾不上休息，水果还没吃完就进班布置教室；三位主持人自己写，自己练，只靠中午那近一个小时的时间出色完成了主持任务……不得不说，那六个班委今年为班级付出了很多~曾经的那些小树苗们已经长大了！#2021年终总结#,0,neutral/unclear
4720605000110319,2021-12-31 23:09:00,fertility,三孩,"【#2021年度十大热词公布#这些热词你都听过吗？】12月30日，中国新闻周刊发布了“年度十大热词”，分别是EMO、YYDS、破防、元宇宙、碳中和、百年未有之大变局、祝融号火星车、共同富裕、双减。当一个人说“我EMO了”，意思是“我有点小情绪了”；而YYDS是“永远的神”的缩写，最初被粉丝用来赞美偶像，出圈后可拿来赞美一切事物。此外，还有破防、元宇宙等这些高频出现的词，记录着网友们一年来关注的热点和社会大事件。2021年""双减""变轨、""三孩""政策落地，从国家到个人，我们正在穿越百年大变局的路口，步履艰难，但目光坚定。L看看新闻KNEWS的微博视频",0,neutral/unclear
4720603317142215,2021-12-31 23:03:00,fertility,三孩,来，让我回顾一下刚刚那三四分钟王一博出来之后，我示意让大家安静，然后我的妈妈说的至少三四遍的话就是“诶这孩真可帅了呀！”“多帅啊！”“诶你看这孩长得多有气质”，我就在一旁“是啊是啊是不是我也觉得”。然后！！！我妈说了不下三四次“没事乖，咱以后找对象就找这种的”“咱以后就找这样又高又帅的”“你以后就照这种标准找对象”，哈哈哈哈哈哈极少被父母这样当面聊对象，诶呀但是没想到是看着博博说的哈哈哈哈哈哈哈哈哈哈哈哈哈哈，我就借您吉言了呗博博第一次主持串场香飘飘那次，我妈说“这孩真帅啊多帅啊，这孩是不是有两米了？咋镇高”哈哈哈哈哈哈被父母认可的感觉,0,neutral/unclear
4720596577158603,2021-12-31 22:36:00,fertility,三孩,没有节目就去找侄子们玩三个小朋友真的好吵别人家的饭真的特别香好喜欢三伯伯一家他们家氛围好好很热闹家庭氛围真的好重要‼️没想到快一年没见了一见那几个小p孩很粘我哈哈哈哈开心但是带小孩真的很累指定我来喂饭抱着我爬我身上…哈哈哈哈还有吃不完的面包🍞吃饭时堂嫂来了一句快点找男朋友…然后开启了一段dddd的对话其实很好笑笑死我了还说堂姐是我的人生导师逼逼赖赖真的笑死我了今晚,0,neutral/unclear
4720596262330010,2021-12-31 22:35:00,fertility,三孩,『新华全媒+｜三孩，来了！新药，进了！耗材，降了！——2021，这些“民生热点”值得关注-新华网』O题：三孩，来了！新药，进了！耗材，降了！——2021，这些“民生热点”值得关注,0,neutral/unclear
